sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
MASCULINO;INDUSTRIA;COMIDAS RAPIDAS;BELENCITO;2;13.0;2016-07-12;5000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;PAPELERIA;BUENOS AIRES;2;9.0;2016-02-18;6400000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;ROBLEDO;1;7.0;2018-07-09;5000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;VARIEDADES;LOS ALCAZARES;3;13.0;2017-12-01;1500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;OCHO DE MARZO;1;9.0;2017-09-06;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;LA ESPERANZA;1;6.0;2017-04-25;3000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;CHARCUTERIA;SAN JAVIER NO.1;2;13.0;2018-01-03;7377000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;BUENOS AIRES;3;9.0;2019-03-05;8000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;ROBLEDO;1;7.0;2017-07-24;6000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE AREPAS;ALFONSO LOPEZ;3;5.0;2018-03-21;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;MANRIQUE CENTRAL NO. 1;2;4.0;2017-09-13;2000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;MANRIQUE ORIENTAL;2;3.0;2016-11-29;3800000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;MORAVIA;2;7.0;2019-03-14;5000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;BELEN;3;16.0;2019-05-29;8000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;CABECERA SAN CRISTOBAL;2;60.0;2016-04-18;6500000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;COMIDAS RAPIDAS;LA AMERICA;3;12.0;2017-02-23;7300000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;ALTAVISTA;2;16.0;2018-02-12;4000000.0;MICROEMPRESARIAL
FEMENINO;AGROPECUARIA;GRANERO;CABECERA SAN ANTONIO ;2;80.0;2019-02-18;1800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;GRANERO;BARRIO CAICEDO;3;9.0;2016-09-26;6000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;LA MILAGROSA;3;9.0;2017-07-04;7377000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;RESTAURANTE;MANRIQUE CENTRAL NO. 2;1;3.0;2016-04-07;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;ROBLEDO;2;7.0;2017-08-09;7377000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;CABECERA SAN CRISTOBAL;1;60.0;2018-02-13;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;SAN JAVIER NO.1;1;13.0;2018-07-27;1300000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;PELUQUERIA;VRDA. SAN ANTONIO ;3;80.0;2016-02-10;6000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;COMIDAS RAPIDAS;BUENOS AIRES;3;9.0;2018-09-17;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;FABRICA DE ALIMENTOS;BELEN;3;16.0;2016-04-20;4000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;MANTENIMIENTO EN;CABECERA SAN ANTONIO ;2;80.0;2016-04-26;6890000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;ENCISO;1;8.0;2016-09-07;6890000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;FOTOGRAFIA;MORAVIA;1;4.0;2018-02-08;7300000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;PANADERIA;CABECERA SAN ANTONIO ;2;80.0;2018-03-02;7800000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;COMIDAS RAPIDAS;ARANJUEZ;3;4.0;2018-04-26;4000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;EBANISTARIA;BELEN;2;16.0;2017-07-24;1500000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;CAMPO VALDES NO. 1;3;4.0;2018-04-25;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;CABECERA SAN ANTONIO ;2;80.0;2018-10-03;5000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;CHARCUTERIA;CENTRO ADMTIVO;3;10.0;2017-05-25;4400000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;PANADERIA;TRINIDAD;2;15.0;2016-10-24;2500000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;MANTENIMIENTO EN;BUENOS AIRES;3;9.0;2017-03-16;7000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;EL CHAGUALO;3;10.0;2018-02-28;1000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;CABECERA SAN CRISTOBAL;1;60.0;2018-08-03;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;VILLA DEL SOCORRO;1;2.0;2018-05-23;3000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE CALZADO;MORAVIA;2;4.0;2017-12-07;7300000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;MANRIQUE CENTRAL NO. 2;3;3.0;2016-12-07;5000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;SANTANDER;2;6.0;2018-06-27;3500000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;MORAVIA;2;4.0;2018-04-25;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;MISCELANEA;OLAYA HERRERA;1;7.0;2017-12-05;1000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;PAPELERIA;PALENQUE;2;7.0;2016-09-22;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;SANTA CRUZ;2;2.0;2017-09-25;7370000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;PAPELERIA;LA LOMA;2;60.0;2017-09-26;7370000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;SAN GERMAN;3;7.0;2018-03-09;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;CAFETERIA;SAN JAVIER NO.1;1;13.0;2016-12-14;6160000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;ROBLEDO;2;7.0;2018-11-19;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;MORAVIA;2;4.0;2018-02-21;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;BOSTON;3;10.0;2016-04-08;6890000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;ALFONSO LOPEZ;3;5.0;2019-01-15;5500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;FABRICA DE HELADOS;MANRIQUE ORIENTAL;1;3.0;2016-09-26;3000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;BARES;BUENOS AIRES;3;9.0;2016-10-12;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;ROBLEDO;2;7.0;2017-06-13;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;VILLATINA;2;8.0;2018-07-05;3000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;ROBLEDO;3;7.0;2017-07-13;3000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;CAFETERIA;CASTILLA;3;5.0;2018-10-24;990000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;SANTO DOMINGO SAVIO ;1;1.0;2018-05-10;4500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;ANDALUCIA;2;2.0;2018-02-20;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;MORAVIA;2;4.0;2016-04-07;6000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;LEGUMBRERIA;ENCISO;2;8.0;2017-07-12;2500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;CABECERA SAN ANTONIO ;2;80.0;2018-05-07;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;TRINIDAD;3;15.0;2017-02-13;7370000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;ROBLEDO;2;7.0;2018-10-25;3000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;SAN JAVIER NO.1;1;13.0;2017-03-31;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;GRANIZAL;1;1.0;2018-06-07;7000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;LOPEZ DE MESA;3;7.0;2017-04-05;6000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;SANTA CRUZ;2;2.0;2018-07-25;6000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;LAVADERO DE;CAMPO VALDES NO. 1;2;4.0;2016-11-16;6000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;RECREATIVO EDUCATIVO;ROBLEDO;2;7.0;2018-03-06;2300000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;POPULAR;2;1.0;2017-06-06;7370000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;TIENDA;BUENOS AIRES;1;9.0;2017-05-23;7377000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;EL SALVADOR;1;9.0;2017-09-08;7200000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;ANDALUCIA;2;2.0;2017-11-07;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;JOYERIA;CAMPO VALDES NO. 1;3;4.0;2017-01-20;7377000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;ROBLEDO;1;7.0;2016-04-22;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;MANRIQUE CENTRAL NO. 1;1;4.0;2018-11-16;3000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;CHARCUTERIA;MORAVIA;2;4.0;2018-06-18;1000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;TIENDA;MANRIQUE ORIENTAL;2;3.0;2019-06-06;4000000.0;CREDIOPORTUNO
FEMENINO;SERVICIO;PELUQUERIA;BLANQUIZAL;2;13.0;2019-02-07;6000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;TIENDA;CABECERA SAN CRISTOBAL;2;60.0;2018-01-15;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;ROBLEDO;1;7.0;2018-01-30;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;FABRICA DE ALIMENTOS;ARANJUEZ;3;4.0;2017-10-12;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;CASTILLA;2;5.0;2018-04-16;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;SANTA INES;2;3.0;2018-03-22;2000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;ARANJUEZ;2;4.0;2018-04-19;3000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;BELEN;3;16.0;2018-03-13;7800000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;ALMACEN DE ROPA EN;POPULAR;1;1.0;2017-09-18;7000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;ENCISO;1;8.0;2019-05-10;8281160.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;TOSCANA;3;5.0;2018-09-27;2000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE CERAMICA;BELEN;3;16.0;2016-09-20;6890000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;EL SALVADOR;2;9.0;2017-03-28;7300000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;PLAYON DE LOS ;1;2.0;2019-06-27;8281000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;LA MILAGROSA;1;9.0;2017-09-07;8000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;PICACHO;1;6.0;2017-04-21;7000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;RESTAURANTE;MORAVIA;1;4.0;2018-07-12;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;SEMBRADOS;CABECERA SAN CRISTOBAL;2;60.0;2018-01-31;5500000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;FERRETERIA;CASTILLA;3;5.0;2016-10-20;3500000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;COMIDAS RAPIDAS;SANTA CRUZ;1;2.0;2016-03-08;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;SANTA INES;2;3.0;2018-07-18;4000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;CAMPO VALDES NO. 1;3;2.0;2019-04-01;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VENTA DE REPUESTOS;MORAVIA;1;4.0;2016-08-03;6700000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;MANTENIMIENTO EN;CASTILLA;3;5.0;2018-05-23;2900000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;LEGUMBRERIA;LA CRUZ;1;3.0;2016-12-05;5000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;CAFE E INTERNET;PEDREGAL;2;6.0;2016-07-05;2000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;BARRIO CAICEDO;1;9.0;2017-10-24;3000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;MANTENIMIENTO EN;BELENCITO;2;13.0;2016-01-26;6890000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;DOCE DE OCTUBRE NO.1;2;6.0;2017-04-17;1000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;BARBERIA;MANRIQUE ORIENTAL;1;3.0;2018-05-31;3000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;RESTAURANTE;CABECERA SAN ANTONIO ;1;80.0;2018-10-11;7000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;PANADERIA;ARANJUEZ;2;4.0;2018-06-21;1500000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;CARPINTERIA;LAS GRANJAS;2;3.0;2018-08-27;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;CASTILLA;3;5.0;2018-05-08;7800000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;COMIDAS RAPIDAS;MORAVIA;2;4.0;2016-06-30;6890000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;CABECERA SAN CRISTOBAL;2;60.0;2017-07-06;5000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;ROBLEDO;2;7.0;2017-02-07;7000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;CAFE E INTERNET;CORDOBA;3;7.0;2017-04-24;2000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;ENCISO;2;8.0;2017-04-18;4000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;COMIDAS RAPIDAS;ENCISO;2;8.0;2018-10-03;4800000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;ARANJUEZ;3;4.0;2018-04-24;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;CABECERA SAN CRISTOBAL;3;60.0;2018-12-04;1500000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;VARIEDADES;ARANJUEZ;3;4.0;2017-12-22;4400000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;MANTENIMIENTO EN;TOSCANA;3;5.0;2018-07-05;2000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;CABECERA SAN CRISTOBAL;2;60.0;2018-06-05;1600000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;VARIEDADES;CRISTO REY;3;15.0;2016-11-19;6890000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;LORETO;2;9.0;2018-02-26;7300000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;MANRIQUE CENTRAL NO. 1;3;4.0;2018-11-14;4000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;RECICLAJE;CABECERA SAN ANTONIO ;2;80.0;2018-05-02;251102.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;VARIEDADES;ENCISO;1;8.0;2017-08-23;1000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;VARIEDADES;CENTRO ADMTIVO;3;10.0;2018-01-25;5000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;COMIDAS RAPIDAS;ROBLEDO;2;7.0;2018-02-08;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;BELALCAZAR;2;5.0;2016-10-21;4000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;SANTA CRUZ;1;2.0;2018-07-16;4500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;CAFETERIA;LA AMERICA;3;12.0;2018-03-20;5000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;MISCELANEA;CAMPO VALDES NO. 1;3;4.0;2017-08-08;3000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;CARPINELO;1;1.0;2018-12-04;7000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;VARIEDADES;BUENOS AIRES;1;9.0;2018-03-08;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;FABRICA DE;ROBLEDO;2;7.0;2018-10-25;2000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;LEGUMBRERIA;CABECERA SAN CRISTOBAL;3;60.0;2018-02-27;5000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE;BUENOS AIRES;1;9.0;2017-10-02;7370000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;VARIEDADES;VILLA HERMOSA;3;8.0;2017-07-06;7370000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;CABECERA SAN CRISTOBAL;2;60.0;2018-09-24;4000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;COMIDAS RAPIDAS;EL CORAZON;2;13.0;2017-12-20;7000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;RESTAURANTE;EL SALVADOR;3;9.0;2018-02-27;7000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;BELEN;3;16.0;2018-07-31;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;ROBLEDO;2;7.0;2018-06-27;6000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;CASTILLA;2;5.0;2018-02-07;7000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;SAN JAVIER NO.1;2;13.0;2018-06-05;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;CABECERA SAN CRISTOBAL;2;60.0;2017-09-26;4000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;COMIDAS RAPIDAS;SAN PEDRO;2;4.0;2017-06-13;7300000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;ROBLEDO;1;7.0;2017-01-30;5000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;ORGANIZACIÓN Y;MANRIQUE CENTRAL NO. 1;1;4.0;2017-11-15;7377000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;ROBLEDO;2;7.0;2018-02-09;700000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;BELENCITO;2;13.0;2018-08-10;4000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE CALZADO;ENCISO;3;8.0;2017-09-19;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;VILLA HERMOSA;3;8.0;2017-11-20;2000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;SANTA CRUZ;1;2.0;2017-11-10;7370000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;CABECERA SAN ANTONIO ;2;80.0;2017-10-20;3000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;BUENOS AIRES;2;9.0;2018-01-16;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;ROBLEDO;2;7.0;2018-07-25;3000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;CAFETERIA;SAN BENITO;3;10.0;2018-07-17;7800000.0;MICROEMPRESARIAL
MASCULINO;AGROPECUARIA;SEMBRADOS;CABECERA SAN CRISTOBAL;2;60.0;2018-09-14;7800000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;BUENOS AIRES;3;9.0;2017-09-11;4400000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;ENCISO;2;8.0;2018-05-17;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;LA LADERA;2;8.0;2018-05-31;5000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;TIENDA;PABLO VI;2;2.0;2017-04-26;7370000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;SAN JAVIER NO.1;1;13.0;2017-07-14;3000000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;MANTENIMIENTO EN;EL SALVADOR;2;9.0;2019-04-08;1500000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;VILLATINA;1;8.0;2017-07-17;3000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;CASTILLA;2;5.0;2018-06-18;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VENTA DE CALZADO;POPULAR;2;1.0;2017-02-24;6894000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;FABRICA DE MUEBLES;ALFONSO LOPEZ;2;5.0;2018-05-08;2350000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;PUBLICIDAD Y;ROBLEDO;3;7.0;2016-04-04;28000000.0;EMPRESARIAL ED
MASCULINO;INDUSTRIA;FABRICA DE;SAN JAVIER NO.1;2;13.0;2018-10-30;7500000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;MANTENIMIENTO EN;SANTA CRUZ;2;2.0;2018-04-10;7800000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;PRADO;3;10.0;2016-03-15;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;DOCE DE OCTUBRE NO.1;2;6.0;2018-07-12;5000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;POPULAR;2;1.0;2016-06-03;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VENTA DE CALZADO;BUENOS AIRES;3;9.0;2016-12-13;4000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;LAS PALMAS;2;10.0;2016-11-22;3000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;20 DE JULIO;1;13.0;2018-01-24;4000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;DISTRIBUIDORA DE;ROBLEDO;3;7.0;2018-07-11;6000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;POPULAR;2;1.0;2018-07-06;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;MANRIQUE CENTRAL NO. 2;2;3.0;2016-11-24;6900000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TIENDA;ENCISO;3;8.0;2018-04-04;7800000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;BARRIO CAICEDO;2;9.0;2018-03-08;15000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;MANRIQUE CENTRAL NO. 1;3;4.0;2017-12-05;7377000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;PABLO VI;2;2.0;2018-06-21;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;JOYERIA;POPULAR;2;1.0;2019-04-30;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;BEL¿N;1;16.0;2016-02-19;2000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE PRODUCTOS;LAS PALMAS;2;10.0;2016-04-22;6890000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;FABRICA DE;BELEN;3;16.0;2018-04-03;7000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;PEDREGAL;3;6.0;2017-02-17;4000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;ARANJUEZ;1;4.0;2018-03-02;7800000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;VARIEDADES;ROBLEDO;2;7.0;2018-08-27;7000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;MANRIQUE ORIENTAL;2;3.0;2017-08-01;3000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE PRODUCTOS;TEJELO;3;5.0;2017-06-14;7300000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;COMIDAS RAPIDAS;CABECERA SAN ANTONIO ;1;80.0;2016-10-26;6894000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;TALLER DE MECANICA;LAS VIOLETAS;2;16.0;2018-03-23;7800000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;TALLER DE ELECTRONICA;ROBLEDO;3;7.0;2017-01-24;5000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;VILLATINA;2;8.0;2016-09-06;5000000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;BELEN;3;16.0;2016-08-23;6900000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;BELEN;3;16.0;2018-11-15;4000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;VARIEDADES;BUENOS AIRES;3;9.0;2017-02-09;7370000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;TALLER DE MECANICA;CAMPO VALDES NO. 1;3;4.0;2017-11-09;7300000.0;MICROEMPRESARIAL
MASCULINO;SERVICIO;MANTENIMIENTO EN;SANTA CRUZ;2;2.0;2018-04-09;7000000.0;MICROEMPRESARIAL
